time,location_name,latitude,longitude,value,parameter,unit_of_measure
2023-01-27 06:00:00,Brooklyn,-37.8220978,144.8471,17.76,PM10,ug/m3
2023-01-27 06:00:00,Melton,-37.7064552,144.5669,0.364,O3,ppb
2023-01-27 06:00:00,Brooklyn,-37.8220978,144.8471,14.559,DBT,deg.C
2023-01-27 06:00:00,Footscray,-37.803709,144.869342,11.259,NO2,ppb
2023-01-27 06:00:00,Geelong South,-38.17356,144.3703,12.074,NO2,ppb
2023-01-27 06:00:00,Alphington,-37.7784081,145.0306,12.914,DBT,deg.C
2023-01-27 06:00:00,Brooklyn,-37.8220978,144.8471,17.76,PM10,ug/m3
2023-01-27 06:00:00,Alphington,-37.7784081,145.0306,9.988,BSP,1/Mm
2023-01-27 06:00:00,Geelong South,-38.17356,144.3703,0.517,SO2,ppb
2023-01-27 06:00:00,Brooklyn,-37.8220978,144.8471,12.806,BSP,1/Mm
2023-01-27 06:00:00,Altona North,-37.84455,144.8629,0.412,SO2,ppb
2023-01-27 06:00:00,Geelong South,-38.17356,144.3703,30.112,PM10,ug/m3
2023-01-27 06:00:00,Point Cook,-37.9263153,144.7567,14.378,O3,ppb
2023-01-27 06:00:00,Dandenong,-37.98576,145.1987,1.284,O3,ppb
2023-01-27 12:00:00,Mooroolbark,-37.7749672,145.3285,2.826,PM10,ug/m3
2023-01-27 12:00:00,Altona North,-37.84455,144.8629,25.134,DBT,deg.C
2023-01-27 12:00:00,Dandenong,-37.98576,145.1987,10.281,BSP,1/Mm
2023-01-27 12:00:00,Dandenong,-37.98576,145.1987,1.783,PM2.5,ug/m3
2023-01-27 12:00:00,Point Cook,-37.9263153,144.7567,11.608,BSP,1/Mm
2023-01-27 12:00:00,Geelong South,-38.17356,144.3703,9.721,BSP,1/Mm
2023-01-27 12:00:00,Brooklyn,-37.8220978,144.8471,20.666,DBT,deg.C
2023-01-27 12:00:00,Footscray,-37.803709,144.869342,23.725,O3,ppb
2023-01-27 12:00:00,Dandenong,-37.98576,145.1987,6.65,NO2,ppb
